"","id","personagem","diálogo"
"1","1","SHUTTLE CAPTAIN","Estação de comando, esta é a ST 321. Liberação de Código Azul. Estamos iniciando nossa abordagem. Desative o escudo de segurança."
"2","2","DEATH STAR CONTROLLER","O escudo defletor de segurança será desativado quando tivermos a confirmação de sua transmissão de código. Aguarde... Você está liberado para prosseguir."
"3","3","SHUTTLE CAPTAIN","Estamos começando nossa abordagem."
"4","4","OFICIAL","Informe o comandante que a nave de Lord Vader chegou."
"5","5","OPERADOR","Sim, senhor."
"6","6","JERGERROD","Lorde Vader, este é um prazer inesperado. Estamos honrados com sua presença."
"7","7","VADER","Você pode dispensar as gentilezas, Comandante. Estou aqui para colocá-lo de volta na programação."
"8","8","JERJERROD","Asseguro-lhe, Lord Vader, meus homens estão trabalhando o mais rápido que podem."
"9","9","VADER","Talvez eu possa encontrar novas maneiras de motivá-los."
"10","10","JERJERROD","Eu lhe digo, esta estação estará operacional conforme planejado."
"11","11","VADER","O Imperador não compartilha de sua avaliação otimista da situação."
"12","12","JERJERROD","Mas ele pede o impossível. Preciso de mais homens."
"13","13","VADER","Então talvez você possa dizer a ele quando ele chegar."
"14","14","JERJERROD","O Imperador vem aqui?"
"15","15","VADER","Correto, Comandante. E ele está muito descontente com sua aparente falta de progresso."
"16","16","JERJERROD","Dobraremos nossos esforços."
"17","17","VADER","Espero que sim, Comandante, para o seu bem. O Imperador não perdoa tanto quanto eu."
"18","18","THREEPIO","Claro que estou preocupado. E você deveria estar também. Lando Calrissian e o pobre Chewbacca nunca voltaram deste lugar horrível."
"19","19","THREEPIO","Não tenha tanta certeza. Se eu lhe contasse metade das coisas que ouvi sobre esse Jabba the Hutt, você provavelmente entraria em curto-circuito."
"20","20","THREEPIO","Artoo, você tem certeza que este é o lugar certo? É melhor eu bater, suponho."
"21","21","THREEPIO","Parece que não tem ninguém lá. Vamos voltar e contar ao Mestre Luke."
"22","22","VOZ ESTRANHA","Tee chuta o que ei !"
"23","23","THREEPIO","Deus me dê graça!"
"24","24","THREEPIO","Artoo Detoowha bo Veja três piowha ei muito estranho mischka Jabba du Hutt."
"25","25","THREEPIO","Eu não acho que eles vão nos deixar entrar, Artoo. É melhor irmos."
"26","26","TRÊS","Artoo, espere. Oh, querido! Artoo. Artoo, eu realmente não acho que devemos nos apressar em tudo isso."
"27","27","THREEPIO","Oh, Artoo! Artoo, espere por mim!"
"28","28","THREEPIO","Apenas entregue a mensagem do Mestre Luke e nos tire daqui. Oh meu Deus! Oh! Oh, não."
"29","29","BIB","Die Wanna Wanga!"
"30","30","THREEPIO","Oh, meu Deus ! Wauaga . Nós - nós trazemos uma mensagem ao seu mestre, Jabba the Hutt."
"31","31","THREEPIO","... e um presente. Presente, que presente?"
"32","32","BIB","Nee Jabba no badda . Me chaade que bom."
"33","33","THREEPIO","Ele diz que nossas instruções são para dar apenas ao próprio Jabba."
"34","34","THREEPIO","Sinto muito. Receio que ele seja tão teimoso com esse tipo de coisa."
"35","35","BIB"," Nudd Chaa."
"36","36","THREEPIO","Artoo, eu tenho um mau pressentimento sobre isso."
"37","37","THREEPIO","Bom dia."
"38","38","JABBA","Bo Shuda !"
"39","39","THREEPIO","A mensagem, Artoo, a mensagem."
"40","40","LUKE","Saudações, Exaltado. Permita-me apresentar-me. Eu sou Luke Skywalker, Cavaleiro Jedi e amigo do Capitão Solo. Eu sei que você é poderoso, poderoso Jabba, e que sua raiva com Solo deve ser igualmente poderoso. Busco uma audiência com Vossa Grandeza para barganhar pela vida de Solo. Com sua sabedoria, tenho certeza de que podemos chegar a um acordo que seja mutuamente benéfico e nos permita evitar qualquer confronto desagradável. Como prova de minha boa vontade , apresento a você um presente: esses dois droides."
"41","41","THREEPIO","O que ele disse?"
"42","42","LUKE","... Ambos são trabalhadores e irão atendê-lo bem."
"43","43","THREEPIO","Isso não pode ser! Artoo, você está jogando a mensagem errada."
"44","44","JABBA","Não haverá barganha."
"45","45","THREEPIO","Estamos condenados."
"46","46","JABBA","Eu não vou desistir da minha decoração favorita. Eu gosto do Capitão Solo onde ele está."
"47","47","THREEPIO","Artoo, olhe! Capitão Solo. E ele ainda está congelado em carbonita."
"48","48","THREEPIO","O que poderia ter acontecido com o Mestre Luke. Foi algo que eu fiz? Ele nunca expressou qualquer infelicidade com o meu trabalho. Oh! Oh! Espere! Ohh !"
"49","49","NINEDENINE","Ah, bom. Novas aquisições. Você é um droide de protocolo, não é?"
"50","50","THREEPIO","Eu sou See- Threepio , humano-cy..."
"51","51","NINEDENINE","Sim ou não serve."
"52","52","THREEPIO","Ah. Bem, sim."
"53","53","NINEDENINE","Quantas línguas você fala?"
"54","54","THREEPIO","Sou fluente em mais de seis milhões de formas de comunicação e posso prontamente..."
"55","55","NINEDENINE","Esplêndido! Estamos sem intérprete desde que nosso mestre ficou bravo com nosso último droide de protocolo e o desintegrou."
"56","56","THREEPIO","Desintegrado?"
"57","57","NINEDENINE","Guarda! Este dróide de protocolo pode ser útil. Encaixe-o com um parafuso de contenção e leve-o de volta à câmara de audiência principal de Sua Excelência."
"58","58","THREEPIO","Artoo, não me deixe! Ohhh !"
"59","59","NINEDENINE","Você é uma criança mal-humorada, mas logo aprenderá um pouco de respeito. Preciso de você na Barca de Vela do mestre. E acho que você vai se encaixar muito bem."
"60","60","JABBA","Da Eitha !"
"61","61","OOLA","Na Chuba negatorie Na! Na! Natoota ..."
"62","62","JABBA"," Boscka !"
"63","63","BOUSHH","Eu vim pela recompensa por este Wookiee ."
"64","64","THREEPIO","Ah, não! Chewbacca!"
"65","65","JABBA","Finalmente temos o poderoso Chewbacca."
"66","66","THREEPIO","Oh, uh, sim, uh, estou aqui, Excelência. Uh... sim!"
"67","67","THREEPIO","Oh. O ilustre Jabba lhe dá as boas-vindas e de bom grado lhe pagará a recompensa de vinte e cinco mil."
"68","68","BOUSHH","Eu quero cinquenta mil. Nada menos."
"69","69","THREEPIO","Uh, oh... mas o que, o que eu disse? Uh, o poderoso Jabba pergunta por que ele deve pagar cinquenta mil."
"70","70","THREEPIO","Porque ele está segurando um detonador térmico."
"71","71","JABBA","Esse caçador de recompensas é meu tipo de escória. Destemido e inventivo."
"72","72","THREEPIO","Jabba oferece a soma de trinta e cinco. E eu sugiro que você aceite."
"73","73","BOUSHH"," Zeebuss ."
"74","74","THREEPIO","Ele concorda!"
"75","75","BOUSHH","Apenas relaxe por um momento. Você está livre da carbonita."
"76","76","BOUSHH"," Shhh . Você está com a doença da hibernação."
"77","77","HAN","Não consigo ver."
"78","78","BOUSHH","Sua visão voltará com o tempo."
"79","79","HAN","Onde estou?"
"80","80","BOUSHH","Palácio de Jabba."
"81","81","HAN","Quem é você?"
"82","82","LEIA","Alguém que te ama."
"83","83","HAN","Leia!"
"84","84","LEIA","Tenho que te tirar daqui."
"85","85","HAN","O que é isso? Eu conheço essa risada."
"86","86","HAN","Ei, Jabba. Olha, Jabba, eu estava indo te pagar de volta, mas me desviei um pouco. Não é minha culpa."
"87","87","JABBA","É tarde demais para isso, Solo. Você pode ter sido um bom contrabandista, mas agora você é ração Bantha ."
"88","88","HAN","Olha..."
"89","89","JABBA","Leve-o embora!"
"90","90","HAN","Jabba... eu te pago o triplo! Você está jogando fora uma fortuna aqui. Não seja tolo!"
"91","91","JABBA","Traga-a para mim."
"92","92","LEIA","Temos amigos poderosos. Você vai se arrepender disso..."
"93","93","JABBA","Tenho certeza."
"94","94","LEIA","Ugh!"
"95","95","THREEPIO"," Ohhh , eu não suporto assistir."
"96","96","HAN","Chewie? Chewie, é você?"
"97","97","HAN","Ah! Mastigue--Chewie!"
"98","98","HAN","Espere. Não consigo ver, amigo. O que está acontecendo ?"
"99","99","HAN","Luke? Luke é louco. Ele não pode nem cuidar de si mesmo, muito menos resgatar alguém."
"100","100","HAN","Um... Cavaleiro Jedi? Eu - eu estou fora disso por um tempo, todo mundo tem delírios de grandeza."
"101","101","HAN","Estou bem, amigo. Estou bem."
"102","102","LUKE","Preciso falar com Jabba."
"103","103","LUKE","Você vai me levar para Jabba agora!"
"104","104","LUKE","Você serve bem ao seu mestre."
"105","105","LUKE","E você será recompensado."
"106","106","THREEPIO","Finalmente! Mestre Luke veio me resgatar."
"107","107","BIB","Mestre."
"108","108","BIB","...Luke Skywalker, Cavaleiro Jedi."
"109","109","JABBA","Eu lhe disse para não admiti-lo."
"110","110","LUKE","Devo ter permissão para falar."
"111","111","BIB","Ele deve poder falar."
"112","112","JABBA","Seu tolo de mente fraca! Ele está usando um velho truque mental Jedi."
"113","113","LUKE","Você vai trazer o Capitão Solo e o Wookiee para mim."
"114","114","JABBA","Seus poderes mentais não funcionarão em mim, garoto."
"115","115","LUKE","Mesmo assim, estou levando o Capitão Solo e seus amigos. Você pode lucrar com isso... ou ser destruído! A escolha é sua. Mas eu te aviso para não subestimar meus poderes."
"116","116","THREEPIO","Mestre Luke, você está de pé..."
"117","117","JABBA","Não haverá barganha, jovem Jedi. Vou gostar de ver você morrer."
"118","118","JABBA"," Basta !"
"119","119","THREEPIO","Ah, não! O Rancor!"
"120","120","JABBA","Traga-me Solo e o Wookiee . Todos eles vão sofrer por esse ultraje."
"121","121","LUKE","Han!"
"122","122","HAN","Luke!"
"123","123","LUKE","Você está bem?"
"124","124","HAN","Tudo bem. Juntos de novo, hein?"
"125","125","LUKE","Não perderia."
"126","126","HAN","Como estamos?"
"127","127","LUKE","O mesmo de sempre."
"128","128","HAN","Tão ruim, hein? Onde está Leia?"
"129","129","LEIA","Estou aqui."
"130","130","THREEPIO","Oh, querido. Sua Alta Exaltação, o grande Jabba, o Hutt, decretou que você deve ser exterminado imediatamente."
"131","131","HAN","Bom, eu odeio longas esperas."
"132","132","THREEPIO","Você será, portanto, levado para o Mar das Dunas e lançado no poço de Carkoon , o local de nidificação do todo-poderoso Sarlacc ."
"133","133","HAN","Não parece tão ruim."
"134","134","THREEPIO","Na barriga dele, você encontrará uma nova definição de dor e sofrimento, pois você é digerido lentamente ao longo de mil anos."
"135","135","HAN","Pensando bem, vamos passar adiante, hein?"
"136","136","LUKE","Você deveria ter negociado, Jabba. Esse é o último erro que você cometerá."
"137","137","HAN","Acho que meus olhos estão melhorando. Em vez de um grande borrão escuro, vejo um grande borrão de luz."
"138","138","LUKE","Não há nada para ver. Eu morava aqui, sabe."
"139","139","HAN","Você vai morrer aqui, você sabe. Conveniente."
"140","140","LUKE","Apenas fique perto de Chewie e Lando . Eu cuidei de tudo."
"141","141","HAN","Ah... ótimo!"
"142","142","JABBA","Logo você aprenderá a me apreciar."
"143","143","THREEPIO","Ah, eu sinto muito ... Artoo ! O que você está fazendo aqui?"
"144","144","THREEPIO","Bem, eu posso ver que você está servindo bebidas, mas este lugar é perigoso. Eles vão executar o Mestre Luke e, se não tomarmos cuidado, nós também!"
"145","145","THREEPIO","Hmm. Eu gostaria de ter sua confiança."
"146","146","THREEPIO","Vítimas do todo-poderoso Sarlacc : Sua Excelência espera que vocês morram honrosamente. Mas se algum de vocês desejar implorar por misericórdia, o grande Jabba, o Hutt, agora ouvirá suas súplicas."
"147","147","HAN"," Trêspio , diga a esse pedaço viscoso de... imundície cheia de vermes que ele não terá tanto prazer de nós. Certo?"
"148","148","LUKE","Jabba! Esta é sua última chance. Liberte-nos ou morra."
"149","149","JABBA","Mova-o para a posição."
"150","150","JABBA","Coloque-o dentro."
"151","151","LUKE","Calma, Chewie."
"152","152","LANDO","Ei! Ei! Socorro!"
"153","153","HAN","Chewie, você está bem? Onde ele está?"
"154","154","HAN","Estou bem, amigo."
"155","155","LANDO","Han! Chewie?"
"156","156","HAN"," Lando !"
"157","157","HAN","Boba Fett?! Boba Fett?! Onde?"
"158","158","HAN"," Lando , pegue!"
"159","159","LANDO","Abaixe!"
"160","160","HAN","Estou tentando!"
"161","161","HAN","Ei! Ei! Agarre-me, Chewie! Estou escorregando."
"162","162","HAN","Agarre! L-- Lando . Agarre!"
"163","163","HAN","Agarre! Quase... Você quase conseguiu!"
"164","164","LANDO","Espere! Uau!"
"165","165","HAN","Delicadamente agora. Tudo... tudo bem. Agora fácil, fácil. Segure-me, Chewie."
"166","166","HAN","Chewie! Chewie, me dê a arma. Não se mova, Lando ."
"167","167","LANDO","Não, espere! Achei que você fosse cego!"
"168","168","HAN","Está tudo bem. Confie em mim. Não se mova."
"169","169","LANDO","Tudo bem! Um pouco mais alto! Só um pouco mais alto!"
"170","170","HAN","Chewie, nos puxe para cima! Vamos! Ok... para cima, Chewie, para cima!"
"171","171","LEIA","Vamos. Temos que sair daqui rápido."
"172","172","THREEPIO","Não meus olhos! Artoo, socorro! Rápido, Artoo. Oh! Ohhh ! Sua besta!"
"173","173","LUKE","Pegue a arma! Aponte para o convés!"
"174","174","LUKE","Aponte para o convés!"
"175","175","THREEPIO","Artoo, para onde vamos? Eu não poderia pular."
"176","176","LUKE","Vamos!"
"177","177","LUKE","Vamos! E não se esqueça dos droides."
"178","178","LANDO","Estamos a caminho."
"179","179","HAN","Eu não sei. Tudo o que posso ver é um monte de areia soprada!"
"180","180","LEIA","Isso é tudo que qualquer um de nós pode ver."
"181","181","HAN","Então acho que estou melhorando."
"182","182","HAN","Eu tenho que admitir, garoto, você foi muito bom lá fora."
"183","183","LUKE","Eu tive muita ajuda. Não pense em nada."
"184","184","HAN","Não, estou pensando muito sobre isso. Aquele congelamento de carbono foi a coisa mais próxima de morte que existe. E não foi só dormir . Foi um grande nada acordado!"
"185","185","LUKE","Vejo você na frota."
"186","186","HAN","Por que você não deixa aquele caixote e vem com a gente?"
"187","187","LUKE","Tenho uma promessa que devo cumprir primeiro... com um velho amigo."
"188","188","HAN","Acho que te devo alguns agradecimentos também, Lando ."
"189","189","LANDO","Achei que se eu te deixasse congelado desse jeito você só me daria azar pelo resto da minha vida, então é melhor eu te descongelar mais cedo ou mais tarde."
"190","190","LEIA","Ele quer dizer ""De nada."""
"191","191","LANDO","Vamos, vamos sair dessa miserável bola de poeira."
"192","192","LUKE","Te encontro na frota."
"193","193","LEIA","Rápido. A Aliança já deve estar montada."
"194","194","LUKE","Eu vou."
"195","195","HAN","Ei, Luke, obrigado. Obrigado por vir atrás de mim. Agora eu te devo uma."
"196","196","LUKE","Isso mesmo, Artoo. Estamos indo para o sistema Dagobah. Tenho uma promessa a cumprir... com um velho amigo."
"197","197","IMPERADOR","Levante-se, meu amigo."
"198","198","VADER","A Estrela da Morte será concluída dentro do prazo."
"199","199","IMPERADOR","Você se saiu bem, Lorde Vader. E agora sinto que deseja continuar sua busca pelo jovem Skywalker."
"200","200","VADER","Sim, meu Mestre."
"201","201","IMPERADOR","Paciência, meu amigo. Com o tempo ele vai procurá-lo. E quando o fizer, você deve trazê-lo antes de mim. Ele se fortaleceu. Somente juntos podemos transformá-lo no lado sombrio da Força. ."
"202","202","VADER","Como quiser."
"203","203","IMPERADOR","Tudo está acontecendo como eu previ."
"204","204","YODA","Hmm. Essa cara que você faz. Pareço eu tão velho para olhos jovens?"
"205","205","LUKE","Não... claro que não."
"206","206","YODA","Sim, sim! Doente me tornei. Velho e fraco. Quando chegar aos novecentos anos, não parecerá tão bonito. Hmm?"
"207","207","YODA","Em breve vou descansar. Sim, dormir para sempre. Ganhei, eu tenho."
"208","208","LUKE","Mestre Yoda, você não pode morrer."
"209","209","YODA","Forte sou eu com a Força... mas não tanto! O crepúsculo está sobre mim e logo a noite deve cair. Esse é o jeito das coisas... o jeito da Força."
"210","210","LUKE","Mas preciso da sua ajuda. Voltei para completar o treinamento."
"211","211","YODA","Você não precisa de mais treinamento. Já sabe o que precisa."
"212","212","LUKE","Então eu sou um Jedi?"
"213","213","YODA"," Ohhh . Ainda não. Uma coisa permanece: Vader. Você deve confrontar Vader. Então, só então, você será um Jedi. E você o enfrentará."
"214","214","LUKE","Mestre Yoda... Darth Vader é meu pai?"
"215","215","YODA"," Mmm ... descanso eu preciso. Sim... descanso."
"216","216","LUKE","Yoda, eu preciso saber."
"217","217","YODA","Seu pai ele é."
"218","218","YODA","Disse a você, não é?"
"219","219","LUKE","Sim."
"220","220","YODA","Isso é inesperado, e lamentável.."
"221","221","LUKE","Infeliz que eu saiba a verdade?"
"222","222","YODA","Não. Infelizmente você correu para enfrentá-lo... esse treinamento foi incompleto. Você não estava pronto para o fardo."
"223","223","LUKE","Bem, me desculpe."
"224","224","YODA","Lembre-se, a força de um Jedi flui da Força. Mas cuidado. Raiva, medo, agressão. O lado escuro são eles. Uma vez que você comece a trilhar o caminho escuro, para sempre ele dominará seu destino."
"225","225","YODA","Luke...Luke...Não...Não subestime os poderes do Imperador, ou sofrerá o destino de seu pai, você irá. Luke, quando eu for embora eu, o último dos Jedi você vai ser. Luke, a Força corre forte em sua família. Passe adiante o que você aprendeu, Luke... Há... outro... Céu... Céu... Andarilho."
"226","226","LUKE","Eu não posso fazer isso, Artoo. Eu não posso continuar sozinho."
"227","227","BEN","Yoda sempre estará com você."
"228","228","LUKE","Obi-Wan! Por que você não me contou?"
"229","229","LUKE","Você me disse que Vader traiu e assassinou meu pai."
"230","230","BEN","Seu pai foi seduzido pelo lado negro da Força. Ele deixou de ser Anakin Skywalker e se tornou Darth Vader. Quando isso aconteceu, o bom homem que era seu pai foi destruído. Então o que eu disse a você era verdade... de um certo ponto de vista."
"231","231","LUKE","Um certo ponto de vista!"
"232","232","BEN","Luke, você vai descobrir que muitas das verdades às quais nos apegamos dependem muito do nosso próprio ponto de vista."
"233","233","BEN","Eu não o culpo por estar com raiva. Se eu estivesse errado no que fiz, certamente não teria sido a primeira vez. Veja, o que aconteceu com seu pai foi culpa minha. "
"234","234","BEN","Anakin era um bom amigo."
"235","235","BEN","Quando o conheci, seu pai já era um grande piloto. Mas fiquei impressionado com a força da Força com ele. Eu decidi treiná-lo como um Jedi. Achei que poderia instruí-lo tão bem quanto Yoda. Eu estava errado. Meu orgulho teve consequências terríveis para a galáxia."
"236","236","LUKE","Ainda há coisas boas nele."
"237","237","BEN","Eu também pensei que ele poderia voltar para o lado bom. Não poderia ser feito. Ele é mais máquina agora do que homem. Retorcido e mal."
"238","238","LUKE","Eu não posso fazer isso, Ben."
"239","239","BEN","Você não pode escapar do seu destino."
"240","240","LUKE","Tentei pará-lo uma vez. Não consegui."
