"","id","personagem","diálogo"
"1","1","LUKE","Eco Três a Eco Sete. Han, velho amigo, você me lê?"
"2","2","HAN","Alto e claro, garoto. E aí?"
"3","3","LUKE","Bem, eu terminei meu círculo. Eu não pego nenhuma leitura de vida."
"4","4","HAN","Não há vida suficiente neste cubo de gelo para encher um cruzador espacial. Os sensores estão colocados. Vou voltar."
"5","5","LUKE","Certo. Vejo você em breve. Há um meteorito que caiu no chão perto daqui. Eu quero dar uma olhada. Não vai demorar muito."
"6","6","LUKE","Ei, garota firme. Qual é o problema? Você cheira alguma coisa?"
"7","7","LUKE","Aaargh!"
"8","8","HAN","Chewie!"
"9","9","HAN","Tudo bem, não perca a calma. Eu já volto e te dou uma mão."
"10","10","RIEEKAN","Sozinho?"
"11","11","HAN","Nenhum sinal de vida lá fora, General. Os sensores estão no lugar. Você saberá se algo acontecer."
"12","12","RIEEKAN","O Comandante Skywalker já chegou?"
"13","13","HAN","Não. Ele está verificando um meteorito que caiu perto dele."
"14","14","RIEEKAN","Com toda a atividade de meteoros neste sistema, vai ser difícil detectar naves se aproximando."
"15","15","HAN","General, tenho que ir embora. Não posso mais ficar."
"16","16","RIEEKAN","Lamento ouvir isso."
"17","17","HAN","Bem, há um preço pela minha cabeça. Se eu não pagar Jabba the Hut, sou um homem morto."
"18","18","RIEEKAN","Uma marca da morte não é uma coisa fácil de se conviver. Você é um bom lutador, Solo. Eu odeio perder você."
"19","19","HAN","Obrigado, General."
"20","20","HAN","Bem, Alteza, acho que é isso."
"21","21","LEIA","Isso mesmo."
"22","22","HAN","Bem, não fique toda mole comigo. Até mais, Princesa."
"23","23","LEIA","Han!"
"24","24","HAN","Sim, Alteza?"
"25","25","LEIA","Achei que você tinha decidido ficar."
"26","26","HAN","Bem, o caçador de recompensas que encontramos em Ord Mantell mudou minha mente."
"27","27","LEIA","Han, precisamos de você!"
"28","28","HAN","Nós?"
"29","29","LEIA","Sim."
"30","30","HAN","Oh, o que você precisa?"
"31","31","LEIA","Preciso? Não sei do que você está falando."
"32","32","HAN","Você provavelmente não."
"33","33","LEIA","E o que exatamente eu deveria saber?"
"34","34","HAN","Vamos lá! Você quer que eu fique por causa do que você sente por mim."
"35","35","LEIA","Sim. Você é uma grande ajuda para nós. Você é um líder natural..."
"36","36","HAN","Não! Não é isso. Vamos. Aahhh -- uh huh! Vamos."
"37","37","LEIA","Você está imaginando coisas."
"38","38","HAN","Estou? Então por que você está me seguindo? Com medo de que eu vá embora sem te dar um beijo de despedida?"
"39","39","LEIA","Prefiro beijar um Wookiee."
"40","40","HAN","Eu posso arranjar isso. Você precisa de um bom beijo!"
"41","41","THREEPIO","Não tente me culpar. Eu não pedi para você ligar o aquecedor térmico. Eu apenas comentei que estava congelando no quarto da princesa. Mas deveria estar congelando. Como estamos vai secar todas as roupas dela? Eu realmente não sei."
"42","42","THREEPIO","Ah, desligue."
