"id","personagem","diálogo"
230,"BEN","Olá! Venha cá meu amiguinho. Não tenha medo."
231,"BEN","Não se preocupe, ele vai ficar bem."
233,"BEN","Descanse, filho, você teve um dia agitado. Você tem sorte de ainda estar inteiro."
235,"BEN","Os Ermos de Jundland não devem ser percorridos de ânimo leve. Diga-me, jovem Luke, o que o traz até aqui?"
237,"BEN","Obi-Wan Kenobi... Obi-Wan? Esse é um nome que eu não ouvia há muito tempo... muito tempo."
239,"BEN","Oh, ele não está morto, não... ainda não."
241,"BEN","Bem, é claro, é claro que eu o conheço. Ele sou eu! Eu não uso o nome Obi-Wan desde oh, antes de você nascer."
243,"BEN","Não me lembro de ter tido um droide. Muito interessante..."
244,"BEN","Acho melhor entrarmos em casa. O Povo da Areia se assusta facilmente, mas logo estará de volta e em maior número."
250,"BEN","Rápido, filho... eles estão em movimento."
252,"BEN","Isso é o que seu tio lhe disse. Ele não se apegou aos ideais de seu pai. Achei que ele deveria ter ficado aqui e não se envolvido."
254,"BEN","Sim, eu já fui um Cavaleiro Jedi igual ao seu pai."
256,"BEN","Ele era o melhor piloto estelar da galáxia, e um guerreiro astuto. Eu entendo que você também se tornou um bom piloto. E ele era um bom amigo. O que me lembra..."
257,"BEN","Eu tenho algo aqui para você. Seu pai queria que você tivesse isso quando tivesse idade suficiente, mas seu tio não permitiria. Ele temia que você pudesse seguir o velho Obi-Wan em algum maldito idiota. cruzada idealista como seu pai fez."
261,"BEN","Sabre de luz de seu pai. Esta é a arma de um Cavaleiro Jedi. Não tão desajeitado ou aleatório como um blaster."
262,"BEN","Uma arma elegante para uma época mais civilizada. Por mais de mil gerações os Cavaleiros Jedi foram os guardiões da paz e da justiça na Velha República. Antes dos tempos sombrios, antes do Império."
264,"BEN","Um jovem Jedi chamado Darth Vader, que foi meu pupilo até se tornar maligno, ajudou o Império a caçar e destruir os Cavaleiros Jedi. Ele traiu e assassinou seu pai. Agora os Jedi são tudo menos extinto. Vader foi seduzido pelo lado negro da Força."
266,"BEN","Bem, a Força é o que dá ao Jedi seu poder. É um campo de energia criado por todas as coisas vivas. Ela nos cerca e penetra. Ela une a galáxia."
267,"BEN","Agora, vamos ver se não conseguimos descobrir o que você é, meu amiguinho. E de onde você vem."
269,"BEN","Parece que encontrei."
271,"BEN","Você deve aprender os caminhos da Força se quiser vir comigo para Alderaan."
273,"BEN","Preciso da sua ajuda, Luke. Estou ficando velho demais para esse tipo de coisa. Ela precisa da sua ajuda."
275,"BEN","É o seu tio falando."
277,"BEN","Aprenda sobre a Força, Luke."
279,"BEN","Você deve fazer o que acha certo, é claro."
296,"BEN","Eles não o fizeram. Mas devemos pensar que sim. Essas faixas estão lado a lado. Areia As pessoas sempre andam em fila indiana para esconder seus números."
298,"BEN","E esses pontos de explosão, precisos demais para o Povo da Areia. Apenas tropas de assalto imperiais são tão precisas."
301,"BEN","Espere, Luke! É muito perigoso."
304,"BEN","Não há nada que você poderia ter feito, Luke, se você estivesse lá. Você teria sido morto também, e os droides agora estariam nas mãos do Império."
306,"BEN","Porto Espacial de Mos Eisley. Você nunca encontrará uma colméia mais miserável de escória e vilania. Devemos ser cautelosos."
309,"BEN","Estão à venda se você quiser."
311,"BEN","Você não precisa ver a identificação dele."
313,"BEN","procurando."
315,"BEN","Ele pode cuidar de seus negócios."
317,"BEN","Siga em frente."
321,"BEN","A Força pode ter uma forte influência sobre os fracos de mente. Você a achará um poderoso aliado."
323,"BEN","Bem, a maioria dos melhores pilotos de cargueiros podem ser encontrados aqui. Apenas tome cuidado. Este lugar pode ser um pouco difícil."
338,"BEN","Este pequeno não vale o esforço. Venha, deixe-me comprar algo para você..."
340,"BEN","Este é Chewbacca. Ele é imediato em um navio que pode atender às nossas necessidades."
343,"BEN","Sim, de fato. Se for um navio rápido."
345,"BEN","Devia ter?"
348,"BEN","Somente passageiros. Eu, o garoto, dois droides, e nenhuma pergunta."
350,"BEN","Vamos apenas dizer que gostaríamos de evitar qualquer envolvimento imperial."
355,"BEN","Não temos muito conosco. Mas podemos pagar-lhe dois mil agora, mais quinze quando chegarmos a Alderaan."
358,"BEN","Noventa e quatro."
362,"BEN","Você vai ter que vender seu speeder."
388,"BEN","Será suficiente."
389,"BEN","Se o navio for tão rápido quanto ele está se gabando, devemos nos sair bem."
417,"BEN","Quanto tempo antes que você possa fazer o salto para a velocidade da luz?"
441,"BEN","Senti uma grande perturbação na Força... como se milhões de vozes de repente gritassem de terror e fossem silenciadas de repente. Temo que algo terrível tenha acontecido."
442,"BEN","É melhor você continuar com seus exercícios."
452,"BEN","Lembre-se, um Jedi pode sentir a Força fluindo através dele."
454,"BEN","Parcialmente. Mas também obedece aos seus comandos."
459,"BEN","Eu sugiro que você tente novamente, Luke."
460,"BEN","Desta vez, solte seu eu consciente e aja por instinto."
462,"BEN","Seus olhos podem te enganar. Não confie neles."
463,"BEN","Estique-se com seus sentimentos."
464,"BEN","Você vê, você pode fazer isso."
466,"BEN","Na minha experiência, sorte não existe."
470,"BEN","Isso é bom. Você deu seu primeiro passo para um mundo maior."
483,"BEN","Destruído... pelo Império!"
487,"BEN","É um caça Imperial."
489,"BEN","Não. É um caça de curto alcance."
493,"BEN","Seria melhor deixá-lo ir. Está muito fora de alcance."
495,"BEN","Um caça desse tamanho não poderia ir tão fundo no espaço sozinho."
500,"BEN","Isso não é lua! É uma estação espacial."
503,"BEN","Vire a nave!"
509,"BEN","Você não pode vencer. Mas existem alternativas para lutar."
527,"BEN","Deixe isso comigo!"
529,"BEN","Quem é o mais tolo... o tolo ou o tolo que o segue?"
537,"BEN","Conecte. Ele deve ser capaz de interpretar toda a rede de computadores Imperial."
540,"BEN","Eu não acho que vocês meninos podem ajudar. Eu devo ir sozinho."
543,"BEN","Seja paciente, Luke. Fique e cuide dos droides."
545,"BEN","Eles devem ser entregues com segurança ou outros sistemas estelares sofrerão o mesmo destino que Alderaan. Seu destino está em um caminho diferente do meu. A Força estará com você... sempre!"
744,"BEN","Apenas um mestre do mal, Darth."
746,"BEN","Você não pode vencer, Darth. Se você me derrubar, eu me tornarei mais poderoso do que você pode imaginar."
759,"BEN","Corra, Luke! Corra!"
839,"BEN","Luke, a Força estará com você."
980,"BEN","Use a Força, Luke."
981,"BEN","Solte, Luke."
983,"BEN","Luke, confie em mim."
1000,"BEN","Lembre-se, a Força estará com você... sempre."
