"id","personagem","diálogo"
342,"HAN","Han Solo. Sou o capitão da Millennium Falcon. Chewie aqui me disse que você está procurando uma passagem para o sistema Alderaan."
344,"HAN","Nave rápida? Você nunca ouviu falar da Millennium Falcon?"
346,"HAN","É a nave que fez o Kessel correr em menos de doze parsecs!"
347,"HAN","Eu ultrapassei as naves imperiais, não os cruzadores locais, veja bem. Estou falando das grandes naves Corellianas agora. Ela é rápida o suficiente para você, velho. Qual é a carga?"
349,"HAN","O que é? Algum tipo de problema local?"
351,"HAN","Bem, esse é o verdadeiro truque, não é? E vai te custar algo extra. Dez mil adiantados."
353,"HAN","Mas quem vai pilotar, garoto! Você?"
356,"HAN","Dezessete, hein!"
357,"HAN","Ok. Vocês conseguiram um navio. Partiremos assim que estiverem prontos. Doca 94."
359,"HAN","Parece que alguém está começando a se interessar pelo seu trabalho."
361,"HAN","Dezessete mil! Esses caras devem estar realmente desesperados. Isso pode realmente salvar meu pescoço. Volte para a nave e prepare-a."
365,"HAN","Sim, Greedo. Na verdade, eu estava indo ver seu chefe. Diga a Jabba que eu tenho o dinheiro dele."
367,"HAN","Sim, mas desta vez eu consegui o dinheiro."
369,"HAN","Eu não tenho isso comigo. Diga a Jabba..."
371,"HAN","Até eu sou abordado às vezes. Você acha que eu tive escolha?"
373,"HAN","Sobre meu cadáver."
375,"HAN","Sim, aposto que sim."
376,"HAN","Desculpe pela bagunça."
391,"HAN","Eu estive esperando por você, Jabba."
393,"HAN","Eu não sou do tipo que corre."
395,"HAN","Você enviou Greedo para me explodir."
397,"HAN","Eu acho que ele pensou que sim. Da próxima vez não mande um desses idiotas. Se você tem algo a me dizer, venha me ver você mesmo."
399,"HAN","Você sabe, até eu sou embarcado às vezes, Jabba. Eu não tive escolha, mas eu tenho uma carta agora e eu posso te pagar de volta, mais um pouco mais. Eu só preciso de mais algum tempo."
401,"HAN","Jabba, eu vou te pagar porque é um prazer."
403,"HAN","Ela vai fazer ponto cinco além da velocidade da luz. Ela pode não parecer muito, mas ela está onde é importante, garoto. Eu mesmo adicionei algumas modificações especiais."
404,"HAN","Estamos um pouco apressados, então se você se apressar a bordo, sairemos daqui."
410,"HAN","Chewie, tire-nos daqui!"
412,"HAN","Parece um cruzador imperial. Nossos passageiros devem estar mais quentes do que eu pensava. Tente segurá-los. Incline o escudo defletor enquanto faço os cálculos para o salto para a velocidade da luz."
413,"HAN","Fique atento! Há mais dois chegando; eles vão tentar nos cortar."
415,"HAN","Cuidado com a boca, garoto, ou você vai encontrar-se flutuando para casa. Estaremos seguros o suficiente quando fizermos o salto para o hiperespaço. Além disso, eu conheço algumas manobras. Perderemos eles!"
416,"HAN","Aqui é onde a diversão começa!"
418,"HAN","Vai levar alguns instantes para obter as coordenadas do computador de navegação."
420,"HAN","Viajar pelo hiperespaço não é como limpar plantações, garoto! Sem cálculos precisos, poderíamos voar direto através de uma estrela ou saltar muito perto de uma supernova e isso terminaria sua viagem bem rápido, não é? ?"
422,"HAN","Estamos perdendo nosso escudo defletor. Vá se amarrar, vou pular para a velocidade da luz."
443,"HAN","Bem, você pode esquecer seus problemas com aquelas lesmas imperiais. Eu disse que ia superar eles."
444,"HAN","Nem todos me agradecem de uma vez."
445,"HAN","De qualquer forma, devemos estar em Alderaan cerca de oh-duzentas horas."
448,"HAN","Deixe-o ficar com ele. Não é sábio perturbar um Wookiee."
450,"HAN","Isso é porque dróides não tiram os braços das pessoas quando perdem. Wookiees são conhecidos por fazer isso."
455,"HAN","Religiões hipócritas e armas antigas não são páreo para um bom blaster ao seu lado, garoto."
457,"HAN","Garoto, eu voei de um lado desta galáxia para o outro. Eu vi um monte de coisas estranhas, mas nunca vi nada que me fizesse acreditar que existe uma força todo-poderosa controlando tudo. Não há nenhum campo de energia mística que controle meu destino."
458,"HAN","É tudo um monte de truques simples e sem sentido."
465,"HAN","Eu chamo isso de sorte."
467,"HAN","Olha, ir bem contra controles remotos é uma coisa. Ir bem contra os vivos? Isso é outra coisa."
468,"HAN","Parece que estamos chegando em Alderaan."
476,"HAN","Aguarde, Chewie, aqui vamos nós. Desligue os motores da subluz."
477,"HAN","O que...? Ah, saímos do hiperespaço para uma chuva de meteoros. Algum tipo de colisão de asteróides. Não está em nenhum dos gráficos."
479,"HAN","Nossa posição está correta, exceto... não, Alderaan!"
481,"HAN","Isso é o que estou tentando te dizer, garoto. Não está lá. Foi totalmente explodido."
484,"HAN","A Frota Estelar inteira não poderia destruir o planeta inteiro. Seriam necessárias mil naves com mais poder de fogo do que eu..."
485,"HAN","Há outro navio chegando."
490,"HAN","Não há nenhuma base por aqui. De onde veio?"
492,"HAN","Não se eu puder evitar. Chewie... bloqueie suas transmissões."
494,"HAN","Não por muito tempo..."
497,"HAN","Bem, ele não vai ficar por aqui tempo suficiente para contar a ninguém sobre nós."
499,"HAN","Acho que posso pegá-lo antes que ele chegue lá... ele está quase no alcance."
501,"HAN","É grande demais para ser uma estação espacial."
504,"HAN","Sim, acho que você está certo. Reverso completo! Chewie, bloqueie a energia auxiliar."
506,"HAN","Estamos presos em um raio trator! Ele está nos puxando!"
508,"HAN","Não há nada que eu possa fazer sobre isso, garoto. Estou no poder total. Vou ter que desligar. Mas eles não vão me pegar sem lutar!"
526,"HAN","Eu os uso para contrabando. Nunca pensei que estaria me contrabandeando neles. Isso é ridículo. Mesmo se eu pudesse decolar, nunca passaria do raio trator."
528,"HAN","Maldito idiota. Eu sabia que você ia dizer isso!"
