"id","personagem","diálogo"
42,"LEIA","Lorde Vader, eu deveria saber. Só você poderia ser tão ousado. O Senado Imperial não vai ficar parado por isso, quando souberem que você atacou um diplomata..."
44,"LEIA","Não sei do que está falando. Sou membro do Senado Imperial em missão diplomática em Alderaan..."
147,"LEIA","Ajude-me, Obi-Wan Kenobi. Você é minha única esperança."
150,"LEIA","Ajude-me, Obi-Wan Kenobi. Você é minha única esperança. Ajude-me, Obi-Wan Kenobi. Você é minha única esperança."
154,"LEIA","Ajude-me, Obi-Wan Kenobi..."
270,"LEIA","General Kenobi, anos atrás você serviu meu pai nas Guerras Clônicas. Agora ele implora que você o ajude em sua luta contra o Império. Lamento não poder apresentar o pedido de meu pai a você pessoalmente , mas minha nave caiu sob ataque e temo que minha missão de trazê-lo para Alderaan tenha falhado. Coloquei informações vitais para a sobrevivência da Rebelião nos sistemas de memória desta unidade R2. Meu pai saberá como recuperar Você deve entregar este droide com segurança a ele em Alderaan. Esta é a nossa hora mais desesperada. Ajude-me, Obi-Wan Kenobi, você é minha única esperança."
424,"LEIA","Governador Tarkin, eu deveria ter esperado encontrá-lo segurando a coleira de Vader. Reconheci seu mau cheiro quando fui trazido a bordo."
426,"LEIA","assumir a responsabilidade você mesmo!"
428,"LEIA","Quanto mais você apertar seu aperto, Tarkin, mais sistemas estelares escaparão por entre seus dedos."
430,"LEIA","Não! Alderaan é pacífica. Não temos armas. Você não pode..."
433,"LEIA","Dantooine."
434,"LEIA","Eles estão em Dantooine."
436,"LEIA","O quê?"
438,"LEIA","Não!"
610,"LEIA","Você não é um pouco curto para um stormtrooper?"
612,"LEIA","Você é quem?"
614,"LEIA","Ben Kenobi está aqui! Onde ele está?"
631,"LEIA","Parece que você conseguiu cortar nossa única rota de fuga."
641,"LEIA","Isso é um resgate. Quando você entrou aqui, você não tinha um plano para sair?"
645,"LEIA","Alguém tem que salvar nossas peles. Para o lixo, espertinho."
651,"LEIA","Guarde essa coisa! Você vai matar todos nós."
653,"LEIA","Poderia ser pior..."
661,"LEIA","Luke!"
662,"LEIA","Luke, Luke, peguem isso."
667,"LEIA","Agarre-o!"
668,"LEIA","O que aconteceu?"
672,"LEIA","Não fique aí parado. Tente segurá-lo com alguma coisa."
683,"LEIA","Não posso"
688,"LEIA","Estou tentando!"
706,"LEIA","Não, espere. Eles vão ouvir!"
709,"LEIA","Ouça. Eu não sei quem você é, ou de onde você veio, mas de agora em diante, você faz o que eu digo. Ok?"
711,"LEIA","É uma maravilha que você ainda esteja vivo. Alguém vai tirar esse grande tapete ambulante do meu caminho?"
723,"LEIA","Você veio naquela coisa? Você é mais corajoso do que eu pensava."
728,"LEIA","Ele certamente tem coragem."
731,"LEIA","Não há fechadura!"
733,"LEIA","Rápido, temos que atravessar. Encontre o controle que estende a ponte."
735,"LEIA","Eles estão chegando!"
737,"LEIA","Lá vêm eles!"
738,"LEIA","Para dar sorte!"
749,"LEIA","Encontramos alguns velhos amigos."
757,"LEIA","Vamos lá! Luke, é tarde demais!"
763,"LEIA","Não havia nada que você pudesse ter feito."
766,"LEIA","Lá vêm eles!"
769,"LEIA","Perdemos os controles laterais."
774,"LEIA","Ainda tem mais dois por aí!"
776,"LEIA","Conseguimos!"
782,"LEIA","Isso não parece muito difícil. Além disso, eles nos deixaram ir. É a única explicação para a facilidade de nossa fuga."
784,"LEIA","Eles estão nos rastreando!"
786,"LEIA","Pelo menos a informação no Artoo ainda está intacta."
788,"LEIA","As leituras técnicas daquela estação de batalha. Só espero que quando os dados forem analisados, uma fraqueza possa ser encontrada. Ainda não acabou!"
790,"LEIA","Você não precisa se preocupar com sua recompensa. Se o dinheiro é tudo o que você ama, então é isso que você receberá!"
791,"LEIA","Seu amigo é um mercenário. Eu me pergunto se ele realmente se importa com alguma coisa... ou alguém."
800,"LEIA","Não temos tempo para nossas tristezas, comandante. A estação de batalha certamente nos localizou aqui. É a única explicação para a facilidade de nossa fuga. Você deve usar as informações desta unidade R2 para planejar o ataque. É nossa única esperança."
821,"LEIA","O que há de errado?"
823,"LEIA","Ele tem que seguir seu próprio caminho. Ninguém pode escolher por ele."
1001,"LEIA","Luke! Luke! Luke!"
1005,"LEIA","Ei, eu sabia que você era mais do que dinheiro."
