"id","personagem","diálogo"
6,"LUKE","Apresse-se! Venha comigo! O que você está esperando?! Acelere!"
29,"LUKE","Dêem forma a vocês!... Biggs?"
30,"LUKE","Eu não sabia que você estava de volta! Quando você entrou?"
32,"LUKE","A Academia não mudou muito você... mas você voltou tão cedo? Ei, o que aconteceu, você não recebeu sua comissão?"
34,"LUKE","Quase me esqueci. Há uma batalha acontecendo! Bem aqui em nosso sistema. Venha e olhe!"
36,"LUKE","Lá estão eles!"
38,"LUKE","Mas houve muitos disparos antes..."
39,"LUKE","Ei, calma com isso..."
66,"LUKE","... então eu cortei minha energia, desliguei os pós-combustores e entrei no rastro de Deak. Eu estava tão perto que pensei que ia fritar meus instrumentos. Skyhopper muito ruim. Tio Owen estava muito chateado. Ele me deixou de castigo pelo resto da temporada. Você deveria ter estado lá... foi fantástico."
68,"LUKE","Olha quem está falando. Agora que você esteve perto dessas naves gigantes, você está começando a parecer meu tio. Você ficou mole na cidade..."
70,"LUKE","Bem, as coisas não têm sido as mesmas desde que você partiu, Biggs. Tem sido tão... quieto."
72,"LUKE","Do que você está falando?"
74,"LUKE","Junte-se à Rebelião?! Você está brincando! Como?"
76,"LUKE","Desculpe. Estou quieto. Ouça como estou quieto. Você mal consegue me ouvir..."
78,"LUKE","sempre tentando encontrá-los."
80,"LUKE","E eu estou preso aqui..."
82,"LUKE","Não é provável! Tive que cancelar minha inscrição. Tem havido muita agitação entre o Povo da Areia desde que você partiu... eles até invadiram os arredores de Anchorhead."
84,"LUKE","Eu sei, mas ele tem vaporizadores suficientes para fazer o lugar valer a pena. Ele precisa de mim por apenas mais uma temporada. Não posso deixá-lo agora."
86,"LUKE","Não poderia acontecer aqui. Você mesmo disse. O Império não vai se incomodar com essa pedra."
88,"LUKE","Eu gostaria de ir... Você vai ficar muito tempo aqui?"
90,"LUKE","Então acho que não vou te ver."
92,"LUKE","Bem, estarei na Academia na próxima temporada... depois disso quem sabe. Não serei convocado para a Frota Estelar Imperial, com certeza... Cuide-se, você vai sempre ser o melhor amigo que eu tenho."
102,"LUKE","Parece que não temos muita escolha, mas vou lembrá-lo."
112,"LUKE","Mas eu estava entrando na Toshi Station para pegar alguns conversores de energia..."
114,"LUKE","Tudo bem, vamos! E o vermelho, vamos. Bem, vamos, Vermelho, vamos."
115,"LUKE","Tio Owen..."
117,"LUKE","Esta unidade R2 tem um motivador ruim. Olhe!"
120,"LUKE","Tio Owen..."
122,"LUKE","E aquele?"
124,"LUKE","Sim, tire isso."
126,"LUKE","Ok, vamos."
129,"LUKE","Não é justo. Oh, Biggs está certo. Eu nunca vou sair daqui!"
131,"LUKE","Bem, a menos que você possa alterar o tempo, acelerar a colheita ou me teletransportar para fora desta rocha!"
133,"LUKE","Bem, se há um centro brilhante no universo, você está no planeta mais distante."
135,"LUKE","Uh, você pode me chamar de Luke."
137,"LUKE","Só Luke."
139,"LUKE","Olá."
140,"LUKE","Você tem um monte de pontuação de carbono aqui. Parece que vocês rapazes viram muita ação."
142,"LUKE","Você sabe da Rebelião contra o Império?"
144,"LUKE","Você esteve em muitas batalhas?"
146,"LUKE","Bem, meu amiguinho, você tem algo muito bom aqui. Você estava em um cruzador estelar ou..."
148,"LUKE","O que é isso?"
152,"LUKE","Quem é ela? Ela é linda."
156,"LUKE","Há mais alguma coisa nessa gravação?"
159,"LUKE","Obi-Wan Kenobi? Será que ele quer dizer o velho Ben Kenobi?"
161,"LUKE","Bem, eu não conheço ninguém chamado Obi-Wan, mas o velho Ben mora além do mar das dunas. Ele é meio que um velho eremita estranho."
162,"LUKE","Eu me pergunto quem ela é. Parece que ela está com problemas. É melhor eu reproduzir a coisa toda."
164,"LUKE","Hm? Oh, sim, bem, eu acho que você é muito pequeno para fugir de mim se eu tirar isso! Ok."
165,"LUKE","Aí está."
166,"LUKE","Bem, espere um minuto. Para onde ela foi? Traga-a de volta! Reproduza a mensagem inteira."
169,"LUKE","Tudo bem, já estarei aí, tia Beru."
171,"LUKE","Bem, veja o que você pode fazer com ele. Eu já volto."
175,"LUKE","Sabe, acho que aquela unidade R2 que compramos pode ter sido roubada."
177,"LUKE","Bem, eu encontrei uma gravação enquanto estava limpando ele. Ele diz que pertence a alguém chamado Obi-Wan Kenobi."
178,"LUKE","Pensei que ele pudesse estar se referindo a Ben. Você sabe do que ele está falando? Bem, eu me pergunto se ele é parente de Ben."
180,"LUKE","Mas e se esse Obi-Wan vier procurá-lo?"
