"id","personagem","diálogo"
1,"THREEPIO","Você ouviu isso? Eles desligaram o reator principal. Seremos destruídos com certeza. Isso é loucura!"
2,"THREEPIO","Estamos condenados!"
3,"THREEPIO","Não haverá escapatória para a princesa desta vez."
5,"THREEPIO","Eu deveria saber melhor do que confiar na lógica de um assistente de remoção de alojamento termocapsular de tamanho médio..."
7,"THREEPIO","Artoo! Artoo-Detoo, onde você está?"
8,"THREEPIO","Finalmente! Onde você esteve?"
9,"THREEPIO","Eles estão indo nessa direção. O que vamos fazer? Seremos enviados para as minas de especiarias de Kessel ou esmagados sabe-se lá o quê!"
18,"THREEPIO","Ei, você não tem permissão para entrar lá. É restrito. Você será desativado com certeza.."
20,"THREEPIO","Missão secreta? Que planos? Do que você está falando? Eu não vou entrar lá!"
21,"THREEPIO","Vou me arrepender disso."
24,"THREEPIO","Isso é engraçado, o dano não parece tão ruim daqui."
25,"THREEPIO","Tem certeza de que essas coisas são seguras?"
53,"THREEPIO","Como eu entrei nessa confusão? Eu realmente não sei como. Parece que somos feitos para sofrer. É o nosso destino na vida."
54,"THREEPIO","Tenho que descansar antes de desmoronar. Minhas articulações estão quase congeladas."
55,"THREEPIO","Que lugar desolado é este."
56,"THREEPIO","Onde você vai?"
57,"THREEPIO","Bem, eu não vou por esse caminho. É muito rochoso. Assim é muito mais fácil."
58,"THREEPIO","O que faz você pensar que existem assentamentos por lá?"
59,"THREEPIO","Não seja técnico comigo."
60,"THREEPIO","Que missão? Do que você está falando? Eu já tive o suficiente de você! Vá por ali! Você estará com defeito em um dia, sua pilha de sucata míope!"
61,"THREEPIO","E não me deixe pegar você me seguindo implorando por ajuda, porque você não vai conseguir."
62,"THREEPIO","Chega de aventuras. Não vou para lá."
63,"THREEPIO","Aquele idiota com defeito. Isso é tudo culpa dele! Ele me enganou para ir por aqui, mas não vai fazer melhor."
64,"THREEPIO","Espere, o que é isso? Um transporte! Estou salvo!"
65,"THREEPIO","Aqui! Socorro! Por favor, socorro!"
94,"THREEPIO","Artoo-Detoo! É você! É você!"
97,"THREEPIO","Acorde! Acorde!"
98,"THREEPIO","Estamos condenados."
