"id","personagem","diálogo"
82,"LEIA","Alguém que te ama."
84,"LEIA","Tenho que te tirar daqui."
92,"LEIA","Temos amigos poderosos. Você vai se arrepender disso..."
94,"LEIA","Ugh!"
129,"LEIA","Estou aqui."
171,"LEIA","Vamos. Temos que sair daqui rápido."
180,"LEIA","Isso é tudo que qualquer um de nós pode ver."
190,"LEIA","Ele quer dizer 'De nada.'"
193,"LEIA","Rápido. A Aliança já deve estar montada."
273,"LEIA","Eu me pergunto quem eles encontraram para fazer isso."
278,"LEIA","Uh, General... conte comigo."
280,"LEIA","O que é?"
294,"LEIA","Ei, você está acordado?"
296,"LEIA","Vamos, general, vamos embora."
311,"LEIA","Agora vamos descobrir se aquele código vale o preço que pagamos."
330,"LEIA","Vamos tentar dar uma volta?"
337,"LEIA","Ali! Mais dois!"
355,"LEIA","Pare com isso!"
356,"LEIA","Eu não vou te machucar."
357,"LEIA","Bem, parece que estou preso aqui. O problema é que não sei onde fica."
358,"LEIA","Bem, talvez você possa me ajudar. Vamos, sente-se."
359,"LEIA","Eu prometo que não vou te machucar. Agora venha aqui."
360,"LEIA","Tudo bem. Quer comer alguma coisa?"
361,"LEIA","Isso mesmo. Vamos. Hmmm?"
362,"LEIA","Olha, é um chapéu. Não vai te machucar. Olha. Você é uma coisinha nervosa, não é?"
363,"LEIA","O que é?"
367,"LEIA","Vamos, vamos sair daqui."
415,"LEIA","Ah!"
417,"LEIA","Mas estes são meus amigos. Threepio , diga-lhes que devem ser libertados."
430,"LEIA","Não sei."
439,"LEIA","Só um pouquinho. Ela morreu quando eu era muito jovem."
441,"LEIA","Apenas... imagens, realmente. Sentimentos."
443,"LEIA","Ela era muito bonita. Gentil, mas... triste. Por que você está me perguntando tudo isso?"
445,"LEIA","Luke, me diga. O que está te incomodando?"
447,"LEIA","Como você sabe?"
449,"LEIA","Por quê?"
451,"LEIA","Seu pai?"
453,"LEIA","Luke, não fale assim. Você tem um poder que eu... eu não entendo e nunca poderia ter."
456,"LEIA","Eu sei. De alguma forma... eu sempre soube."
458,"LEIA","Não! Luke, fuja para longe. Se ele pode sentir sua presença, então saia deste lugar. Eu gostaria de poder ir com você."
460,"LEIA","Mas, por que você deve confrontá-lo?"
463,"LEIA","Nada. Eu - só quero ficar um pouco sozinha."
465,"LEIA","Eu... eu não posso te dizer."
467,"LEIA","Eu..."
470,"LEIA","Segure-me."
491,"LEIA","A entrada principal do bunker de controle fica do outro lado da plataforma de pouso. Isso não vai ser fácil."
493,"LEIA","O que ele está dizendo?"
502,"LEIA","Bem, basta um para soar o alarme."
505,"LEIA","Silencioso."
507,"LEIA","Ah, não."
530,"LEIA","Han! Depressa! A frota estará aqui a qualquer momento."
565,"LEIA","O código mudou. Precisamos de Artoo!"
567,"LEIA","Artoo, onde você está? Precisamos de você no bunker imediatamente."
592,"LEIA","Eu te dou cobertura."
605,"LEIA","Não é ruim."
610,"LEIA","Eu sei."
