"","id","personagem","diálogo"
"40",40,"LUKE","Saudações, Exaltado. Permita-me apresentar-me. Eu sou Luke Skywalker, Cavaleiro Jedi e amigo do Capitão Solo. Eu sei que você é poderoso, poderoso Jabba, e que sua raiva com Solo deve ser igualmente poderoso. Busco uma audiência com Vossa Grandeza para barganhar pela vida de Solo. Com sua sabedoria, tenho certeza de que podemos chegar a um acordo que seja mutuamente benéfico e nos permita evitar qualquer confronto desagradável. Como prova de minha boa vontade , apresento a você um presente: esses dois droides."
"42",42,"LUKE","... Ambos são trabalhadores e irão atendê-lo bem."
"102",102,"LUKE","Preciso falar com Jabba."
"103",103,"LUKE","Você vai me levar para Jabba agora!"
"104",104,"LUKE","Você serve bem ao seu mestre."
"105",105,"LUKE","E você será recompensado."
"110",110,"LUKE","Devo ter permissão para falar."
"113",113,"LUKE","Você vai trazer o Capitão Solo e o Wookiee para mim."
"115",115,"LUKE","Mesmo assim, estou levando o Capitão Solo e seus amigos. Você pode lucrar com isso... ou ser destruído! A escolha é sua. Mas eu te aviso para não subestimar meus poderes."
"121",121,"LUKE","Han!"
"123",123,"LUKE","Você está bem?"
"125",125,"LUKE","Não perderia."
"127",127,"LUKE","O mesmo de sempre."
"136",136,"LUKE","Você deveria ter negociado, Jabba. Esse é o último erro que você cometerá."
"138",138,"LUKE","Não há nada para ver. Eu morava aqui, sabe."
"140",140,"LUKE","Apenas fique perto de Chewie e Lando . Eu cuidei de tudo."
"148",148,"LUKE","Jabba! Esta é sua última chance. Liberte-nos ou morra."
"151",151,"LUKE","Calma, Chewie."
"173",173,"LUKE","Pegue a arma! Aponte para o convés!"
"174",174,"LUKE","Aponte para o convés!"
"176",176,"LUKE","Vamos!"
"177",177,"LUKE","Vamos! E não se esqueça dos droides."
"183",183,"LUKE","Eu tive muita ajuda. Não pense em nada."
"185",185,"LUKE","Vejo você na frota."
"187",187,"LUKE","Tenho uma promessa que devo cumprir primeiro... com um velho amigo."
"192",192,"LUKE","Te encontro na frota."
"194",194,"LUKE","Eu vou."
"196",196,"LUKE","Isso mesmo, Artoo. Estamos indo para o sistema Dagobah. Tenho uma promessa a cumprir... com um velho amigo."
"205",205,"LUKE","Não... claro que não."
"208",208,"LUKE","Mestre Yoda, você não pode morrer."
"210",210,"LUKE","Mas preciso da sua ajuda. Voltei para completar o treinamento."
"212",212,"LUKE","Então eu sou um Jedi?"
"214",214,"LUKE","Mestre Yoda... Darth Vader é meu pai?"
"216",216,"LUKE","Yoda, eu preciso saber."
"219",219,"LUKE","Sim."
"221",221,"LUKE","Infeliz que eu saiba a verdade?"
"223",223,"LUKE","Bem, me desculpe."
"226",226,"LUKE","Eu não posso fazer isso, Artoo. Eu não posso continuar sozinho."
"228",228,"LUKE","Obi-Wan! Por que você não me contou?"
"229",229,"LUKE","Você me disse que Vader traiu e assassinou meu pai."
"231",231,"LUKE","Um certo ponto de vista!"
"236",236,"LUKE","Ainda há coisas boas nele."
"238",238,"LUKE","Eu não posso fazer isso, Ben."
"240",240,"LUKE","Tentei pará-lo uma vez. Não consegui."
"242",242,"LUKE","Mas eu tinha que ajudar meus amigos."
"244",244,"LUKE","Descobri que Darth Vader era meu pai."
"246",246,"LUKE","Não posso matar meu próprio pai."
"248",248,"LUKE","Yoda falou de outro."
"250",250,"LUKE","Mas eu não tenho irmã."
"252",252,"LUKE","Leia! Leia é minha irmã."
"256",256,"LUKE","Mas você não pode deixar ela se envolver agora, Ben. Vader vai destruí-la."
"281",281,"LUKE","Pergunte-me de novo algum dia."
"283",283,"LUKE","Oi, Han... Chewie."
"292",292,"LUKE","Sim, ela está chegando ."
"298",298,"LUKE","Tudo pronto."
"313",313,"LUKE","Vader está naquele navio."
"316",316,"LUKE","Estou colocando a missão em perigo. Eu não deveria ter vindo."
"333",333,"LUKE","Silenciosamente, pode haver mais deles por aí."
"336",336,"LUKE","Ótimo. Vamos lá."
"338",338,"LUKE","Eu os vejo. Espere, Leia!"
"339",339,"LUKE","Rápido! Bloqueie o comlink deles . Interruptor central!"
"341",341,"LUKE","Aproxime-se!"
"342",342,"LUKE","Fique ao lado daquele!"
"343",343,"LUKE","Pegue-o!"
"344",344,"LUKE","Continue com essa! Vou levar esses dois!"
"347",347,"LUKE","O quê? Ela não voltou?"
"349",349,"LUKE","Nós nos separamos."
"350",350,"LUKE","Ei, é melhor irmos procurá-la."
"352",352,"LUKE","Vamos, Artoo. Vamos precisar de seus scanners."
"385",385,"LUKE","Há mais dois speeders destruídos lá atrás. E eu encontrei isso."
"391",391,"LUKE","Chewie, wa - espere! Não!"
"393",393,"LUKE","Você vai com calma? Vamos apenas descobrir uma maneira de sair dessa coisa. Han, você pode alcançar meu sabre de luz?"
"398",398,"LUKE","Han, não faça isso. Vai ficar tudo bem."
"399",399,"LUKE","Chewie, dê a eles sua besta."
"401",401,"LUKE","Você entende alguma coisa que eles estão dizendo?"
"419",419,"LUKE"," Threepio , diga a eles que se eles não fizerem o que você deseja, você ficará com raiva e usará sua magia."
"421",421,"LUKE","Apenas diga a eles."
"426",426,"LUKE","Obrigado, Threepio ."
"437",437,"LUKE","Luke, o que há de errado?"
"438",438,"LUKE","Leia... você se lembra da sua mãe? Sua mãe verdadeira?"
"440",440,"LUKE","Do que você se lembra?"
"442",442,"LUKE","Diga-me."
"444",444,"LUKE","Não me lembro da minha mãe. Nunca a conheci."
"446",446,"LUKE","Vader está aqui... agora, nesta lua."
"448",448,"LUKE","Senti a presença dele. Ele veio para mim. Ele pode sentir quando estou perto. É por isso que eu tenho que ir. Enquanto eu ficar, estou colocando em risco o grupo e nossa missão aqui. Eu tenho que enfrentá-lo."
"450",450,"LUKE","Ele é meu pai."
"452",452,"LUKE","Há mais. Não será fácil para você ouvir, mas você deve. Se eu não voltar, você é a única esperança para a Aliança."
"454",454,"LUKE","Você está errada, Leia. Você também tem esse poder. Com o tempo você aprenderá a usá-lo como eu. A Força é forte na minha família. Meu pai tem... eu tenho. isso... e... minha irmã tem isso."
"455",455,"LUKE","Sim. É você Leia."
"457",457,"LUKE","Então você sabe porque eu tenho que enfrentá-lo."
"459",459,"LUKE","Não, você não. Você sempre foi forte."
"461",461,"LUKE","Porque... há algo bom nele. Eu senti isso. Ele não vai me entregar ao Imperador. Eu posso salvá-lo. Eu posso trazê-lo de volta para o lado bom. tem que tentar."
"476",476,"LUKE","Eu sei, pai."
"478",478,"LUKE","Eu aceitei a verdade que você já foi Anakin Skywalker, meu pai."
"480",480,"LUKE","É o nome do seu verdadeiro eu. Você apenas esqueceu. Eu sei que há algo de bom em você. O Imperador não o tirou completamente de você. É por isso que você não pode me destruir. . É por isso que você não vai me levar ao seu imperador agora."
"483",483,"LUKE","Venha comigo."
"486",486,"LUKE","Eu não vou virar... e você será forçado a me matar."
"488",488,"LUKE","Procure seus sentimentos, pai. Você não pode fazer isso. Eu sinto o conflito dentro de você. Deixe de lado o seu ódio."
"490",490,"LUKE","Então meu pai está realmente morto."
"516",516,"LUKE","Você está gravemente enganado. Você não vai me converter como fez com meu pai."
"520",520,"LUKE","Você está errado. Logo estarei morto... e você comigo."
"523",523,"LUKE","Seu excesso de confiança é sua fraqueza."
"555",555,"LUKE","Não!"
"616",616,"LUKE","Eu não vou lutar com você, pai."
"618",618,"LUKE","Seus pensamentos o traem, pai. Eu sinto o bem em você... o conflito."
"620",620,"LUKE","Você não conseguiu me matar antes, e não acredito que vá me destruir agora."
"632",632,"LUKE","Eu não vou lutar com você."
"635",635,"LUKE","Nunca-rr!"
"637",637,"LUKE","Nunca! Eu nunca vou voltar para o lado negro. Você falhou, Sua Alteza. Eu sou um Jedi, como meu pai antes de mim."
