"id","personagem","diálogo"
18,"THREEPIO","Claro que estou preocupado. E você deveria estar também. Lando Calrissian e o pobre Chewbacca nunca voltaram deste lugar horrível."
19,"THREEPIO","Não tenha tanta certeza. Se eu lhe contasse metade das coisas que ouvi sobre esse Jabba the Hutt, você provavelmente entraria em curto-circuito."
20,"THREEPIO","Artoo, você tem certeza que este é o lugar certo? É melhor eu bater, suponho."
21,"THREEPIO","Parece que não tem ninguém lá. Vamos voltar e contar ao Mestre Luke."
23,"THREEPIO","Deus me dê graça!"
24,"THREEPIO","Artoo Detoowha bo Veja três piowha ei muito estranho mischka Jabba du Hutt."
25,"THREEPIO","Eu não acho que eles vão nos deixar entrar, Artoo. É melhor irmos."
27,"THREEPIO","Oh, Artoo! Artoo, espere por mim!"
28,"THREEPIO","Apenas entregue a mensagem do Mestre Luke e nos tire daqui. Oh meu Deus! Oh! Oh, não."
30,"THREEPIO","Oh, meu Deus ! Wauaga . Nós - nós trazemos uma mensagem ao seu mestre, Jabba the Hutt."
31,"THREEPIO","... e um presente. Presente, que presente?"
33,"THREEPIO","Ele diz que nossas instruções são para dar apenas ao próprio Jabba."
34,"THREEPIO","Sinto muito. Receio que ele seja tão teimoso com esse tipo de coisa."
36,"THREEPIO","Artoo, eu tenho um mau pressentimento sobre isso."
37,"THREEPIO","Bom dia."
39,"THREEPIO","A mensagem, Artoo, a mensagem."
41,"THREEPIO","O que ele disse?"
43,"THREEPIO","Isso não pode ser! Artoo, você está jogando a mensagem errada."
45,"THREEPIO","Estamos condenados."
47,"THREEPIO","Artoo, olhe! Capitão Solo. E ele ainda está congelado em carbonita."
48,"THREEPIO","O que poderia ter acontecido com o Mestre Luke. Foi algo que eu fiz? Ele nunca expressou qualquer infelicidade com o meu trabalho. Oh! Oh! Espere! Ohh !"
50,"THREEPIO","Eu sou See- Threepio , humano-cy..."
52,"THREEPIO","Ah. Bem, sim."
54,"THREEPIO","Sou fluente em mais de seis milhões de formas de comunicação e posso prontamente..."
56,"THREEPIO","Desintegrado?"
58,"THREEPIO","Artoo, não me deixe! Ohhh !"
64,"THREEPIO","Ah, não! Chewbacca!"
66,"THREEPIO","Oh, uh, sim, uh, estou aqui, Excelência. Uh... sim!"
67,"THREEPIO","Oh. O ilustre Jabba lhe dá as boas-vindas e de bom grado lhe pagará a recompensa de vinte e cinco mil."
69,"THREEPIO","Uh, oh... mas o que, o que eu disse? Uh, o poderoso Jabba pergunta por que ele deve pagar cinquenta mil."
70,"THREEPIO","Porque ele está segurando um detonador térmico."
72,"THREEPIO","Jabba oferece a soma de trinta e cinco. E eu sugiro que você aceite."
74,"THREEPIO","Ele concorda!"
95,"THREEPIO"," Ohhh , eu não suporto assistir."
106,"THREEPIO","Finalmente! Mestre Luke veio me resgatar."
116,"THREEPIO","Mestre Luke, você está de pé..."
119,"THREEPIO","Ah, não! O Rancor!"
130,"THREEPIO","Oh, querido. Sua Alta Exaltação, o grande Jabba, o Hutt, decretou que você deve ser exterminado imediatamente."
132,"THREEPIO","Você será, portanto, levado para o Mar das Dunas e lançado no poço de Carkoon , o local de nidificação do todo-poderoso Sarlacc ."
134,"THREEPIO","Na barriga dele, você encontrará uma nova definição de dor e sofrimento, pois você é digerido lentamente ao longo de mil anos."
143,"THREEPIO","Ah, eu sinto muito ... Artoo ! O que você está fazendo aqui?"
144,"THREEPIO","Bem, eu posso ver que você está servindo bebidas, mas este lugar é perigoso. Eles vão executar o Mestre Luke e, se não tomarmos cuidado, nós também!"
145,"THREEPIO","Hmm. Eu gostaria de ter sua confiança."
146,"THREEPIO","Vítimas do todo-poderoso Sarlacc : Sua Excelência espera que vocês morram honrosamente. Mas se algum de vocês desejar implorar por misericórdia, o grande Jabba, o Hutt, agora ouvirá suas súplicas."
172,"THREEPIO","Não meus olhos! Artoo, socorro! Rápido, Artoo. Oh! Ohhh ! Sua besta!"
175,"THREEPIO","Artoo, para onde vamos? Eu não poderia pular."
272,"THREEPIO","Parece perigoso."
284,"THREEPIO","'Excitante' dificilmente é a palavra que eu usaria."
299,"THREEPIO","Aqui vamos nós de novo."
329,"THREEPIO","Ah, eu disse que era perigoso aqui."
345,"THREEPIO","Oh, General Solo, alguém está vindo. Oh!"
353,"THREEPIO","Não se preocupe, Mestre Luke. Nós sabemos o que fazer."
354,"THREEPIO","E você disse que era bonito aqui. Ugh!"
384,"THREEPIO","Oh, Mestre Luke."
386,"THREEPIO","Temo que os sensores de Artoo não encontrem vestígios da Princesa Leia."
395,"THREEPIO","Artoo, não tenho certeza se é uma boa ideia. É um dro -o -op muito longo!!"
400,"THREEPIO","Oh, minha cabeça. Oh, meu Deus!"
402,"THREEPIO","Ah, sim, Mestre Luke! Lembre-se que sou fluente em mais de seis milhões de formas de comunicação."
404,"THREEPIO","Olá, eu acho... posso estar enganado. Eles estão usando um dialeto muito primitivo. Mas eu acredito que eles pensam que eu sou algum tipo de deus."
406,"THREEPIO","Peço desculpas, General Solo, mas isso não seria apropriado."
408,"THREEPIO","É contra minha programação personificar uma divindade."
413,"THREEPIO","Estou bastante envergonhado, General Solo, mas parece que você será o prato principal de um banquete em minha homenagem."
416,"THREEPIO","Vossa Alteza Real."
420,"THREEPIO","Mas Mestre Luke, que magia?"
422,"THREEPIO","Você vê, Mestre Luke; eles não acreditaram em mim. Apenas..."
423,"THREEPIO","... como eu disse que eles não fariam. O que - o - o que está acontecendo! Oh! Oh, querido! Oh!"
424,"THREEPIO","Coloque-me no chão! E-e- elp ! Mestre Luke! Artoo! Alguém, alguém, ajude! Mestre Luke, Artoo! Artoo, rápido! Faça alguma coisa, alguém! Oh! Ohhh !"
425,"THREEPIO","Oh, oh, oh, oh! Graças a Deus."
427,"THREEPIO","Eu... eu nunca soube que tinha isso em mim."
428,"THREEPIO","Sim, Artoo. Eu estava chegando lá."
431,"THREEPIO","Maravilhoso! Agora somos parte da tribo."
434,"THREEPIO","Ele diz que os batedores vão nos mostrar o caminho mais rápido para o gerador de escudo."
494,"THREEPIO","Ele diz que há uma entrada secreta do outro lado do cume."
504,"THREEPIO","Oh! Oh, que coisa. Uh, Princesa Leia!"
506,"THREEPIO","Receio que nosso companheiro peludo tenha ido e feito algo bastante precipitado."
511,"THREEPIO","Decidi que vamos ficar aqui."
532,"THREEPIO","Oh, que coisa! Eles serão capturados!"
533,"THREEPIO"," Wa -espere! Espere, volte! Artoo, fique comigo."
558,"THREEPIO","Olá! Eu digo, ali! Você estava procurando por mim?"
561,"THREEPIO","Bem, eles estão a caminho. Artoo, você tem certeza que foi uma boa ideia?"
563,"THREEPIO","Nós nos rendemos."
564,"THREEPIO"," Ohhh ! Afaste-se, Artoo."
568,"THREEPIO","Indo? Como assim, você está indo. Mas-- mas indo para onde, Artoo? Não, o quê! Artoo! Oh, não é hora para heroísmo. Volte!"
587,"THREEPIO","Estamos chegando!"
589,"THREEPIO","Oh, Artoo, rápido!"
590,"THREEPIO","Meu Deus! Artoo, por que você teve que ser tão corajoso?"
603,"THREEPIO","Oh, Princesa Leia, você está bem?"
607,"THREEPIO","Oh, querida."
674,"THREEPIO","Eles conseguiram!"
